Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Mixed_Signal_Board_Project\Project Outputs for Mixed_Signal_Board_Project\Pick Place\Pick Place for Mixed_Signal_Board_PCB.txt

========================================================================================================================
File Design Information:

Date:       23.05.22
Time:       18:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                     Layer    Footprint                           Center-X(mil) Center-Y(mil) Rotation Description                                                                                                 
J18        "1x10-Male Header"                          TopLayer DIP_1X10_FEMALE_HEADER_2.54_PITCH   4322.835      4278.346      270      "10 Position Single Row 2.54 mm Pitch Vertical Through Hole Socket Header"                                  
R71        "10k Ohms"                                  TopLayer 0805_RES                            3878.937      3972.441      180      "Res SMD 0805 10K 1% 0.125W T.C.100PPM"                                                                     
R36        "10k Ohms"                                  TopLayer 0805_RES                            4468.504      4514.764      90       "Res SMD 0805 10K 1% 0.125W T.C.100PPM"                                                                     
R35        "10k Ohms"                                  TopLayer 0805_RES                            4468.504      4656.496      90       "Res SMD 0805 10K 1% 0.125W T.C.100PPM"                                                                     
D7         DIODE_TVS_3.3VWM_8VC_SOT23                  TopLayer SOT170P237X110-3N                   2842.520      1690.945      180      "ESD Suppressor TVS Uni-Dir 3.3V 3-Pin SOT-23 T/R"                                                          
R22        "RES_301 OHM_1%_0805_1/8W"                  TopLayer 0805_RES                            4035.433      4860.236      90       "Res Thick Film 0805 301 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R"                                   
R21        "RES_301 OHM_1%_0805_1/8W"                  TopLayer 0805_RES                            4145.669      4860.236      90       "Res Thick Film 0805 301 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R"                                   
R14        "RES_301 OHM_1%_0805_1/8W"                  TopLayer 0805_RES                            3677.165      4860.236      90       "Res Thick Film 0805 301 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R"                                   
R13        "RES_301 OHM_1%_0805_1/8W"                  TopLayer 0805_RES                            3783.465      4860.236      90       "Res Thick Film 0805 301 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R"                                   
J3         "CONN_1X2_Terminal Block"                   TopLayer 1X2_TERMINAL_BLOCK                  4096.457      5078.740      0        "Series 1377 - 5.00 mm Horizontal Entry with Pressure Clamp WR-TBL, 2 pin"                                  
J2         "CONN_1X2_Terminal Block"                   TopLayer 1X2_TERMINAL_BLOCK                  3730.315      5078.740      0        "Series 1377 - 5.00 mm Horizontal Entry with Pressure Clamp WR-TBL, 2 pin"                                  
J13        "CONN_1X3_2.54mm_Male Header"               TopLayer DIP_1X3_MALE_HEADER_2.54_PITCH      4574.803      4419.685      90       "Conn Header Vert 3POS 2.54MM"                                                                              
J9         "CONN_1X3_2.54mm_Male Header"               TopLayer DIP_1X3_MALE_HEADER_2.54_PITCH      5586.614      4417.323      90       "Conn Header Vert 3POS 2.54MM"                                                                              
J24        "CONN_1X2_Terminal Block"                   TopLayer 1X2_TERMINAL_BLOCK                  1480.315      3960.630      90       "Series 1377 - 5.00 mm Horizontal Entry with Pressure Clamp WR-TBL, 2 pin"                                  
